#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 04 03 50 189  7.6  9.3  1.88  9.09  6.88 240 1021.1   5.2   7.6 999.0 99.0 99.00
2009 01 04 04 20 174  7.1  8.5 99.00 99.00 99.00 999 1021.1   5.2   7.6 999.0 99.0 99.00
2009 01 04 04 50 175  5.6  7.2  2.12  9.09  7.09 255 1021.2   4.9   7.6 999.0 99.0 99.00
2009 01 04 05 20 177  6.6  9.3 99.00 99.00 99.00 999 1021.0   5.1   7.6 999.0 99.0 99.00
2009 01 04 05 50 176  7.2  8.7  2.30 10.00  7.24 248 1021.0   5.1   7.5 999.0 99.0 99.00
2009 01 04 06 20 166  6.9  8.4 99.00 99.00 99.00 999 1020.8   5.0   7.6 999.0 99.0 99.00
2009 01 04 06 50 165  5.9  7.4  1.86 10.00  6.94 250 1020.8   5.4   7.6 999.0 99.0 99.00
2009 01 04 07 20 185  6.9  8.3 99.00 99.00 99.00 999 1021.0   5.2   7.6 999.0 99.0 99.00
2009 01 04 07 50 168  7.5  8.9  1.88 10.00  6.96 252 1020.9   5.3   7.6 999.0 99.0 99.00
2009 01 04 08 20 166  7.8  9.4 99.00 99.00 99.00 999 1020.6   5.3   7.7 999.0 99.0 99.00
2009 01 04 08 50 150  5.2  7.2  2.10 10.00  7.15 247 1020.4   5.5   7.7 999.0 99.0 99.00
2009 01 04 09 20 148  4.8  6.7 99.00 99.00 99.00 999 1020.6   5.5   7.6 999.0 99.0 99.00
2009 01 04 09 50 153  5.4  7.7  2.05 10.00  6.96 255 1020.3   5.4   7.6 999.0 99.0 99.00
2009 01 04 10 20 134  7.3  8.8 99.00 99.00 99.00 999 1020.1   5.5   7.6 999.0 99.0 99.00
2009 01 04 10 50 134  6.5  8.1  2.10  9.09  6.46 267 1020.0   5.5   7.6 999.0 99.0 99.00
2009 01 04 11 20 132  7.9 10.2 99.00 99.00 99.00 999 1019.3   5.5   7.6 999.0 99.0 99.00
2009 01 04 11 50 137  7.8  9.8  2.00  9.09  6.02 268 1018.9   5.5   7.6 999.0 99.0 99.00
2009 01 04 12 20 133  8.3 10.5 99.00 99.00 99.00 999 1018.6   5.3   7.5 999.0 99.0 99.00
2009 01 04 12 50 130  9.1 11.1  2.10  9.09  6.40 264 1017.8   5.5   7.5 999.0 99.0 99.00
2009 01 04 13 20 126  9.2 11.3 99.00 99.00 99.00 999 1017.2   5.6   7.5 999.0 99.0 99.00
2009 01 04 13 50 126  9.8 11.4  2.18 10.00  6.40 270 1016.9   5.5   7.5 999.0 99.0 99.00
2009 01 04 14 20 132  9.0 11.1 99.00 99.00 99.00 999 1016.9   5.7   7.5 999.0 99.0 99.00
2009 01 04 14 50 130  9.2 11.3  2.00 10.00  6.27 256 1016.2   5.6   7.5 999.0 99.0 99.00
2009 01 04 15 20 130  8.7 10.8 99.00 99.00 99.00 999 1016.1   5.6   7.6 999.0 99.0 99.00
2009 01 04 15 50 132  8.7 11.0  1.89 11.43  6.05 257 1015.5   5.6   7.6 999.0 99.0 99.00
2009 01 04 16 20 127  8.9 10.7 99.00 99.00 99.00 999 1015.2   5.5   7.6 999.0 99.0 99.00
2009 01 04 16 50 123  8.7  9.9  1.88 10.00  5.99 260 1014.7   5.6   7.6 999.0 99.0 99.00
2009 01 04 17 20 126  8.2  9.8 99.00 99.00 99.00 999 1014.8   5.6   7.6 999.0 99.0 99.00
2009 01 04 17 50 127  7.0  8.5  1.76  6.25  5.63 207 1014.2   5.5   7.7 999.0 99.0 99.00
2009 01 04 18 20 129  7.4  9.0 99.00 99.00 99.00 999 1013.9   5.4   7.7 999.0 99.0 99.00
2009 01 04 18 50 129  7.5  9.4  1.67  7.69  5.74 213 1013.4   5.5   7.7 999.0 99.0 99.00
2009 01 04 19 20 139  7.6 10.9 99.00 99.00 99.00 999 1012.5   5.8   7.7 999.0 99.0 99.00
2009 01 04 19 50 148  8.3 11.0  1.70  9.09  5.74 247 1011.3   5.9   7.7 999.0 99.0 99.00
2009 01 04 20 20 158 12.4 16.3 99.00 99.00 99.00 999 1009.0   5.6   7.7 999.0 99.0 99.00
2009 01 04 20 50 154 11.8 15.9  1.86  7.69  5.59 210 1009.9   4.8   7.7 999.0 99.0 99.00
2009 01 04 21 20 158 10.7 14.6 99.00 99.00 99.00 999 1010.1   4.1   7.6 999.0 99.0 99.00
2009 01 04 21 50 134  9.8 11.9  2.14  7.69  5.97 209 1008.8   3.1   7.6 999.0 99.0 99.00
2009 01 04 22 20 125 11.5 13.7 99.00 99.00 99.00 999 1006.9   2.4   7.6 999.0 99.0 99.00
2009 01 04 22 50 119 11.5 13.8  2.51  8.33  6.12 208 1005.7   1.8   7.6 999.0 99.0 99.00
2009 01 04 23 20 116 11.5 13.9 99.00 99.00 99.00 999 1004.5   2.0   7.6 999.0 99.0 99.00
2009 01 04 23 50 113 10.0 12.9  2.36  9.09  5.91 217 1003.5   2.3   7.6 999.0 99.0 99.00
2009 01 05 00 20 126  8.2 12.0 99.00 99.00 99.00 999 1002.4   2.5   7.6 999.0 99.0 99.00
2009 01 05 00 50 155 12.5 18.8  3.21  9.09  6.76 208 1000.5   4.3   7.5 999.0 99.0 99.00
2009 01 05 01 20 160 15.1 21.6 99.00 99.00 99.00 999  999.2   4.1   7.6 999.0 99.0 99.00
2009 01 05 01 50 161 11.7 16.2  4.03  9.09  7.31 204  999.3   4.2   7.6 999.0 99.0 99.00
2009 01 05 02 20 161  9.8 13.4 99.00 99.00 99.00 999  999.3   4.5   7.5 999.0 99.0 99.00
2009 01 05 02 50 169 13.0 17.8  3.92 10.00  7.15 207  997.5   4.7   7.5 999.0 99.0 99.00
2009 01 05 03 20 186 16.0 22.3 99.00 99.00 99.00 999  995.5   5.2   7.5 999.0 99.0 99.00
2009 01 05 03 50 194 15.2 18.8  4.54 10.81  7.49 211  995.7   5.5   7.5 999.0 99.0 99.00
2009 01 05 04 20 188 12.2 14.9 99.00 99.00 99.00 999  996.4   5.7   7.5 999.0 99.0 99.00
2009 01 05 04 50 162  5.8 10.5  4.48 10.00  7.73 207  997.0   6.2   7.6 999.0 99.0 99.00
2009 01 05 05 20 134  2.1  5.4 99.00 99.00 99.00 999  996.7   5.5   7.6 999.0 99.0 99.00
2009 01 05 05 50 112  5.8  8.0  3.69 11.43  7.70 225  996.8   6.3   7.6 999.0 99.0 99.00
2009 01 05 06 20 108  7.6 10.4 99.00 99.00 99.00 999  996.2   4.7   7.7 999.0 99.0 99.00
2009 01 05 06 50 115  8.6 11.0  2.98 10.81  7.20 216  996.2   5.3   7.7 999.0 99.0 99.00
2009 01 05 07 20 112  8.7 10.7 99.00 99.00 99.00 999  996.2   5.2   7.7 999.0 99.0 99.00
